#{"t_start": 1713057598.655933, "env_id": "None"}
r,l,t
106.0,3921,17.994315
83.0,4213,34.617222
283.0,2812,44.688257
213.0,3965,58.509758
319.0,3007,70.381766
226.0,2804,79.970622
153.0,3128,92.257953
235.0,2581,101.449847
162.0,5286,123.161638
134.0,3087,134.17006
149.0,2953,145.486957
270.0,2135,153.693306
13.0,6978,179.353922
146.0,3807,193.886013
122.0,3781,206.984098
262.0,3138,217.311707
226.0,3379,229.974563
232.0,2884,241.952502
68.0,4755,260.192316
296.0,2225,268.814926
87.0,6725,293.371799
236.0,3038,305.365183
296.0,2636,314.713207
248.0,3118,326.165555
-80.0,4766,343.309142
129.0,3659,356.383598
263.0,5378,375.772283
67.0,6432,397.71448
-103.0,6463,419.248585
-55.0,7412,446.032212
193.0,3073,456.568189
198.0,2830,466.806273
215.0,5216,485.731765
230.0,3113,497.090337
245.0,4507,514.736439
154.0,3063,526.125863
241.0,2521,534.40533
-51.0,8042,561.369748
-48.0,7510,590.058692
-16.0,5450,607.778242
