train/learning_rate,train/policy_loss,time/fps,train/n_updates,time/total_timesteps,train/entropy_loss,train/explained_variance,train/value_loss,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
0.0007,0.045674849301576614,680,99,6000,-7.685993194580078,-0.025105714797973633,0.16466645896434784,100,8,,
0.0007,-0.257185161113739,788,199,12000,-8.19207763671875,-0.004288792610168457,0.053152721375226974,200,15,3516.8,211.8
0.0007,-0.052453525364398956,825,299,18000,-8.287261962890625,-0.8035204410552979,0.00012868322664871812,300,21,4011.125,146.0
0.0007,-1.0044775009155273,772,399,24000,-8.193982124328613,-0.014707684516906738,0.1491328924894333,400,31,4624.538461538462,149.15384615384616
0.0007,-0.09646454453468323,786,499,30000,-2.7543013095855713,0.9030217379331589,0.0053689791820943356,500,38,4691.333333333333,150.66666666666666
0.0007,0.14993888139724731,799,599,36000,-4.03223991394043,0.11701333522796631,0.12315980345010757,600,45,4165.1,165.03333333333333
0.0007,-0.3502531349658966,804,699,42000,-4.589389324188232,0.35680586099624634,0.10863099992275238,700,52,4153.314285714286,170.34285714285716
0.0007,-0.7248250246047974,802,799,48000,-8.290478706359863,0.0016333460807800293,0.08084616810083389,800,59,4083.0,172.2
0.0007,0.6557507514953613,798,899,54000,-7.092886924743652,0.15777570009231567,0.10163682699203491,900,67,4099.6875,177.16666666666666
0.0007,0.1422232687473297,804,999,60000,-7.261783123016357,0.1800646185874939,0.07316242158412933,1000,74,4059.607843137255,179.23529411764707
0.0007,-0.5095243453979492,809,1099,66000,-4.7855634689331055,0.4778144955635071,0.06913643330335617,1100,81,4069.4210526315787,176.140350877193
0.0007,-0.14343151450157166,802,1199,72000,-5.3075666427612305,0.4619300961494446,0.10644907504320145,1200,89,4028.0,176.6764705882353
0.0007,-0.1464850753545761,805,1299,78000,-2.7925195693969727,0.51779505610466,0.13591539859771729,1300,96,3883.64,182.08
0.0007,1.3111820220947266,802,1399,84000,-7.425936698913574,0.19445115327835083,0.31385764479637146,1400,104,3855.9876543209875,178.91358024691357
0.0007,0.8856354355812073,797,1499,90000,-8.086677551269531,0.057405173778533936,0.10113707929849625,1500,112,3837.8953488372094,178.86046511627907
0.0007,-0.6621888279914856,793,1599,96000,-7.455845355987549,0.04573243856430054,0.1427016705274582,1600,120,3885.4148936170213,179.6595744680851
0.0007,-0.12067319452762604,795,1699,102000,-1.4761935472488403,-0.29435408115386963,0.1138085424900055,1700,128,3841.704081632653,182.22448979591837
0.0007,-0.12459880858659744,797,1799,108000,-1.7582025527954102,0.9896980775520205,0.015624672174453735,1800,135,3808.09,184.71
0.0007,0.5991910099983215,795,1899,114000,-6.464412212371826,0.03758573532104492,0.08698071539402008,1900,143,3563.17,191.67
0.0007,-0.4968034029006958,795,1999,120000,-7.595941543579102,-0.2444314956665039,0.09930795431137085,2000,150,3504.57,193.72
0.0007,0.5237431526184082,796,2099,126000,-0.6983784437179565,0.989075711928308,1.3522292375564575,2100,158,3531.15,195.06
0.0007,-0.30958595871925354,796,2199,132000,-8.23215103149414,0.060554683208465576,0.15471556782722473,2200,165,3529.85,190.54
0.0007,0.4344026744365692,796,2299,138000,-6.148158073425293,0.10421228408813477,0.07402773946523666,2300,173,3479.64,193.84
0.0007,-0.5365030765533447,797,2399,144000,-4.974304676055908,0.39262276887893677,0.09921432286500931,2400,180,3483.94,192.37
0.0007,0.8019317984580994,795,2499,150000,-7.418483734130859,0.2214565873146057,0.10300234705209732,2500,188,3467.18,194.24
0.0007,0.6525852680206299,798,2599,156000,-8.227569580078125,-0.047893643379211426,0.07946722954511642,2600,195,3443.92,195.7
0.0007,-0.4812050759792328,800,2699,162000,-3.993361711502075,0.12543678283691406,0.21157272160053253,2700,202,3515.08,193.25
0.0007,-0.5268979668617249,803,2799,168000,-8.266227722167969,0.014203250408172607,0.22453553974628448,2800,209,3603.86,191.49
0.0007,0.022911010310053825,807,2899,174000,-7.9483442306518555,0.0462992787361145,0.16672177612781525,2900,215,3729.26,189.48
0.0007,0.14079710841178894,806,2999,180000,-7.111241340637207,0.02142012119293213,0.06041353568434715,3000,223,3797.04,189.64
0.0007,-0.3750394284725189,805,3099,186000,-6.627396106719971,-0.08974063396453857,0.28352153301239014,3100,230,3764.29,194.18
0.0007,-0.5175327658653259,801,3199,192000,-6.48563289642334,0.4408782124519348,0.08996040374040604,3200,239,3713.84,191.55
0.0007,0.36546590924263,801,3299,198000,-3.8806209564208984,0.05964881181716919,0.17675486207008362,3300,246,3646.3,197.96
0.0007,0.0737125426530838,800,3399,204000,-2.9921114444732666,0.2657254934310913,0.21773870289325714,3400,254,3630.94,196.61
0.0007,0.08062797039747238,799,3499,210000,-2.2404797077178955,0.9587809406220913,0.04242432862520218,3500,262,3688.02,192.36
0.0007,0.012748814187943935,800,3599,216000,-1.6721289157867432,0.3128294348716736,0.24527215957641602,3600,269,3696.91,191.55
0.0007,-0.02378016710281372,799,3699,222000,-0.848759114742279,0.02878093719482422,0.09796623140573502,3700,277,3738.09,188.87
0.0007,0.8539478778839111,801,3799,228000,-0.8241053819656372,0.6310204565525055,12.205007553100586,3800,284,3755.95,180.51
0.0007,0.10768765211105347,801,3899,234000,-2.036257028579712,0.6117605566978455,0.10755769908428192,3900,291,3961.85,172.32
0.0007,-0.15970271825790405,799,3999,240000,-3.247860908508301,0.6629871726036072,0.06379401683807373,4000,300,3957.82,174.21
0.0007,0.24616017937660217,800,4099,246000,-3.813075065612793,0.39227503538131714,0.11290068924427032,4100,307,3895.99,175.88
